name,department,account_status,sharepoint_access,antivirus_status
Luiz Fernando Ribeiro,Financeiro,Inativo,Membro,Atualizado
Théo Câmara,Operações,Inativo,Membro,Quarentena
Lucca Sampaio,Marketing,Inativo,Visitante,Atualizado
Sra. Amanda Nascimento,RH,Ativo,Visitante,Quarentena
Davi Luiz Vargas,TI,Ativo,Visitante,Atualizado
Maria Vitória Aparecida,Operações,Ativo,Visitante,Quarentena
Sr. Thiago Gomes,RH,Inativo,Visitante,Quarentena
Natália Pinto,Operações,Ativo,Membro,Atualizado
Henrique da Paz,RH,Inativo,Membro,Atualizado
João Guilherme Rezende,RH,Ativo,Visitante,Atualizado
Raul Cavalcanti,Financeiro,Ativo,Visitante,Quarentena
Sr. Brayan da Luz,TI,Ativo,Membro,Atualizado
Calebe Aparecida,RH,Ativo,Membro,Quarentena
Milena Moreira,RH,Inativo,Membro,Quarentena
Emanuel Pires,RH,Ativo,Visitante,Quarentena
Luara Mendes,Marketing,Ativo,Membro,Quarentena
Mariah Nogueira,TI,Ativo,Membro,Quarentena
Alexia Sales,Marketing,Ativo,Owner,Atualizado
Ana Laura Pastor,Operações,Ativo,Membro,Quarentena
João Gabriel Novais,RH,Ativo,Owner,Atualizado
Bryan Viana,RH,Ativo,Membro,Quarentena
Mariane Campos,Vendas,Ativo,Visitante,Quarentena
Ana Liz Pimenta,Operações,Ativo,Owner,Quarentena
Carlos Eduardo Campos,RH,Ativo,Owner,Quarentena
Dra. Evelyn Correia,Operações,Inativo,Membro,Quarentena
Maria Cecília Dias,Financeiro,Ativo,Membro,Atualizado
José Miguel Sales,Vendas,Inativo,Visitante,Quarentena
Sarah Sá,Financeiro,Inativo,Membro,Quarentena
Carlos Eduardo Cavalcante,Financeiro,Ativo,Visitante,Atualizado
Gael Henrique Ribeiro,Vendas,Ativo,Owner,Atualizado
Sr. Juan Brito,TI,Inativo,Visitante,Atualizado
Sr. Thiago Cardoso,TI,Inativo,Membro,Atualizado
José Miguel Câmara,Operações,Ativo,Membro,Atualizado
Sr. Vitor Rezende,Financeiro,Inativo,Membro,Quarentena
Brenda Novaes,RH,Ativo,Visitante,Atualizado
Rebeca Gomes,Financeiro,Inativo,Membro,Quarentena
Sophie Montenegro,Operações,Inativo,Membro,Quarentena
Dr. Rafael Cardoso,Operações,Inativo,Visitante,Atualizado
Sra. Laura Peixoto,RH,Ativo,Membro,Atualizado
João Miguel Campos,RH,Ativo,Membro,Quarentena
Brayan Pereira,Marketing,Ativo,Membro,Quarentena
Asafe Farias,Financeiro,Inativo,Membro,Atualizado
Melissa Moreira,Marketing,Inativo,Owner,Atualizado
Camila Vieira,RH,Ativo,Membro,Atualizado
Dr. Caleb Peixoto,RH,Ativo,Owner,Quarentena
Eloá Cavalcanti,Marketing,Inativo,Membro,Quarentena
Dr. Rhavi da Costa,Vendas,Inativo,Visitante,Atualizado
Maria Vitória Ferreira,TI,Ativo,Owner,Atualizado
Guilherme Pires,RH,Inativo,Membro,Atualizado
Helena Pacheco,Vendas,Ativo,Membro,Quarentena
Melina da Cruz,Marketing,Inativo,Visitante,Quarentena
Gustavo Siqueira,Operações,Inativo,Visitante,Atualizado
Liz Almeida,TI,Ativo,Membro,Atualizado
Thomas Gomes,TI,Inativo,Visitante,Quarentena
Maria Eduarda Silveira,RH,Ativo,Membro,Quarentena
Lorenzo Cassiano,Financeiro,Ativo,Owner,Atualizado
Srta. Melissa Freitas,Vendas,Ativo,Membro,Atualizado
Maria Pastor,Operações,Inativo,Visitante,Atualizado
Maria Sophia Campos,Operações,Inativo,Membro,Quarentena
Maria Helena Gomes,Operações,Inativo,Owner,Atualizado
Sr. Nathan Aparecida,TI,Ativo,Membro,Atualizado
João Miguel Machado,Operações,Ativo,Membro,Atualizado
Ana Cecília da Luz,Operações,Inativo,Membro,Atualizado
Eduarda Casa Grande,TI,Ativo,Owner,Atualizado
Srta. Maysa da Costa,Financeiro,Ativo,Visitante,Atualizado
Sra. Gabrielly Rios,Marketing,Ativo,Owner,Quarentena
Melina Moraes,TI,Inativo,Membro,Atualizado
Sr. Davi Lucas da Paz,RH,Ativo,Owner,Atualizado
Breno Fonseca,Vendas,Inativo,Membro,Quarentena
Enrico Gomes,Operações,Inativo,Membro,Atualizado
Dr. Valentim Aragão,RH,Inativo,Membro,Quarentena
Heloísa Aragão,TI,Inativo,Membro,Quarentena
Ravi Melo,Vendas,Ativo,Membro,Quarentena
Maria Julia Pacheco,Operações,Ativo,Owner,Quarentena
Mariana Câmara,Operações,Inativo,Membro,Atualizado
Maria Clara Cavalcante,TI,Inativo,Membro,Atualizado
Rafaela Correia,Vendas,Inativo,Membro,Quarentena
Laura Barros,TI,Ativo,Membro,Quarentena
Vicente Caldeira,Vendas,Ativo,Membro,Atualizado
Gustavo Henrique Pimenta,TI,Ativo,Owner,Quarentena
Rodrigo Santos,Operações,Ativo,Visitante,Atualizado
Sr. Pedro Miguel Cavalcante,TI,Inativo,Membro,Atualizado
Sra. Olivia Caldeira,RH,Inativo,Membro,Quarentena
